SiteCode,pExc,durExc,first.week,daysSuitable,cum.exp,IWV,AWV,MWV,VAR,RNG,IWI,AWA,MWA,AWM,MWM,AWI,Species,LifeHistory,Life.stage,Start,End,Thresh.hi,Thresh.lo,year
STH,0,0,1900-01-01,128,2300.64766304348,0.00645550903109091,0.651116188560529,2.44544825562169,25.6250489429056,16.67,0.02375,7.96953686711839,15.8772023809524,8.95069461335766,16.69375,6.9335067016317,Chinook,win_outmigrants,rearing,2005-04-15,2006-01-31,18,9,2005
VAL,0.0136986301369863,4,2005-07-11,102,2021.54434848485,0.000417402447089947,0.83064702916593,5.53560811333027,31.4272856640902,19.5667045454545,0.21875,7.35288484531342,18.0749935064935,8.33979337329337,19.7854545454545,6.30483058608059,Chinook,win_outmigrants,rearing,2005-04-15,2006-01-31,18,9,2005
SFS,0,0,1900-01-01,88,1814.11291666667,0,0.728956686889499,4.65296098710318,28.3487775492282,16.9633333333333,0,6.30786401098901,15.9651785714286,7.23485576923077,16.9633333333333,5.37024912587413,Chinook,win_outmigrants,rearing,2005-04-15,2006-01-31,18,9,2005
STH,0,0,1900-01-01,111,1986.24155011655,3.67063492063492e-06,0.725665262575841,5.25036810515873,25.0041199202334,16.3283333333333,-0.0104166666666667,7.27055966481243,15.4344047619048,8.2525877566468,16.3179166666667,6.20574457676395,Chinook,win_outmigrants,rearing,2006-04-15,2007-01-31,18,9,2006
VAL,0.0102739726027397,3,2006-07-18,119,2141.03257352941,2.98280423280422e-05,0.750053043979301,5.4882539021164,32.7117141633481,18.5920833333333,0.0370833333333333,7.45245197204756,18.0915476190476,8.38066142191142,18.6291666666667,6.43752965172083,Chinook,win_outmigrants,rearing,2006-04-15,2007-01-31,18,9,2006
SFS,0,0,1900-01-01,85,1741.4789673913,0,0.58868819478438,4.07622117228836,27.856160424158,17.9495833333333,-0.05,6.06784832920703,16.852619047619,6.87326416337286,17.8995833333333,5.27704982517483,Chinook,win_outmigrants,rearing,2006-04-15,2007-01-31,18,9,2006
MAR,0,0,1900-01-01,101,1799.59908333333,0,0.699525179623729,3.01632146164021,25.405935910294,15.4716666666667,-0.02,6.649479244114,14.8172023809524,7.57556195786865,15.4516666666667,5.64379491945477,Chinook,win_outmigrants,rearing,2007-04-15,2008-01-31,18,9,2007
STH,0,0,1900-01-01,139,2356.99853333333,0.00393650793650794,0.767855700640748,4.43982056878307,29.8144670560502,17.0108333333333,-0.0945833333333333,8.1727183982684,16.2075595238095,9.19820658508159,16.91625,7.10115437062937,Chinook,win_outmigrants,rearing,2007-04-15,2008-01-31,18,9,2007
VAL,0.0171232876712329,5,2007-07-13,125,2317.91157608696,0.000481183862433863,0.831948590133732,3.6194851521164,36.0011767560442,18.1395833333333,0.2,8.04109192437997,17.7380952380952,9.05499562937063,18.3395833333333,6.97646922823553,Chinook,win_outmigrants,rearing,2007-04-15,2008-01-31,18,9,2007
SEC,0.00684931506849315,2,2007-07-01,99,1812.77125,0,0.860807654546457,3.44411145006614,35.3394772300745,18.2425,0.0583333333333333,6.83743100649351,17.5306547619048,7.87987689393939,18.3008333333333,5.82331755050505,Chinook,win_outmigrants,rearing,2007-04-15,2008-01-31,18,9,2007
